Epoch	loss	F-Rr	lAUC1	lAUC2	lAUC3	AUC1	AUC2	AUC3
125	0.347956	8.3848	8.7208	8.0738	18.8067	0.8186	0.8120	0.8964
126	0.362727	8.9452	8.9472	8.9433	18.9610	0.8108	0.8200	0.8959
127	0.400370	8.9716	8.8764	9.0688	17.9046	0.8156	0.8053	0.8930
128	0.316914	8.2423	8.7244	7.8107	18.7104	0.8171	0.7899	0.9015
129	0.357924	8.2070	8.5739	7.8702	18.8493	0.8158	0.8122	0.9013
130	0.363340	8.4828	8.5791	8.3885	18.6983	0.8174	0.8025	0.9002
131	0.362196	9.3670	9.0269	9.7339	18.4467	0.8132	0.8097	0.8961
132	0.398950	9.2753	8.8525	9.7406	18.4380	0.8221	0.8131	0.8944
133	0.338645	9.7690	9.2995	10.2885	18.7532	0.8239	0.8276	0.8856
134	0.343374	10.0058	9.3775	10.7242	18.4335	0.8220	0.8223	0.8921
135	0.377473	9.8637	9.2310	10.5895	18.5413	0.8230	0.8228	0.8968
136	0.392361	9.4449	9.1928	9.7113	18.8834	0.8215	0.8146	0.8938
137	0.402416	8.9051	8.7948	9.0182	18.2995	0.8125	0.7934	0.9013
138	0.366922	9.2152	8.9319	9.5172	18.3928	0.8166	0.8064	0.8962
139	0.392951	9.4068	8.8844	9.9946	18.4383	0.8157	0.8113	0.8955
140	0.337075	9.1293	8.4794	9.8871	17.9955	0.8097	0.8146	0.8953
141	0.344280	9.2205	9.0453	9.4026	18.2730	0.8206	0.8229	0.8868
142	0.365143	8.8918	8.7327	9.0569	18.7507	0.8122	0.8032	0.8955
143	0.322730	8.7128	8.7352	8.6905	18.3778	0.8166	0.7965	0.8918
144	0.371941	8.6974	8.8570	8.5434	18.2409	0.8112	0.7932	0.8939
145	0.414649	8.4564	8.7047	8.2218	18.4873	0.8164	0.7969	0.8950
146	0.325120	9.0919	8.5416	9.7179	18.4116	0.8129	0.8116	0.8952
147	0.324567	9.0494	8.6042	9.5432	18.7500	0.8182	0.8039	0.8956
148	0.345493	8.2196	8.2077	8.2315	18.9284	0.8162	0.7914	0.8990
149	0.281652	9.6189	8.7806	10.6342	19.1223	0.8158	0.8247	0.8981
